DTSTAMP;DTSTART;DTEND;SUMMARY;LOCATION;DESCRIPTION;UID;CREATED;LAST-MODIFIED;SEQUENCE
20211207T100557Z;20211203T090000Z;20211203T110000Z;R101c;G_019;RT1-TP B1,MARTINI PIERRE;ADE60323032312d323032325354455449454e4e452d31313237372d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211206T130000Z;20211203T110000Z;R110;G_019;RT1-TD A,DO RAMO CARLOS;ADE60323032312d323032325354455449454e4e452d31313237372d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211206T130000Z;20211203T110000Z;R110;G_007;RT1-TD A,DO RAMO CARLOS;ADE60323032312d323032325354455449454e4e452d31313237372d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211206T130000Z;20211210T170000Z;R101b;G_007;RT1-TD A,DO RAMO CARLOS;ADE60323032312d323032325354455449454e4e452d31313237372d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211206T130000Z;20211210T170000Z;R101b;G_007;RT1-TD B,CHAMBERT CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31343536322d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211206T130000Z;20211007T080000Z;R101b;G_007;RT1-TP A1,LACAN DAVID;ADE60323032312d323032325354455449454e4e452d31343536322d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211203T130000Z;20211007T080000Z;R101c;G_019;RT1-TP A1,LACAN DAVID;ADE60323032312d323032325354455449454e4e452d31343536322d302d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211203T130000Z;20211208T170000Z;SAE13;G_019;RT1-TP A1,LACAN DAVID;ADE60323032312d323032325354455449454e4e452d31313237372d302d31;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211202T130000Z;20211202T150000Z;SAE13;G_019;RT1-TP A1;ADE60323032312d323032325354455449454e4e452d33313037302d382d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20210930T080000Z;20211202T150000Z;SAE13;G_019;RT1-TP B1;ADE60323032312d323032325354455449454e4e452d33313037302d382d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20210930T080000Z;20211202T150000Z;SAE11;G_004;RT1-TP B1;ADE60323032312d323032325354455449454e4e452d33313037302d382d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20210930T080000Z;20211026T100000Z;R102;G_004;RT1-TP B1;ADE60323032312d323032325354455449454e4e452d33313037302d382d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211213T130000Z;20210920T080000Z;R102;G_004;RT1-TP B1;ADE60323032312d323032325354455449454e4e452d33313037302d382d30;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211124T130000Z;20210920T080000Z;R102;G_004;RT1-TP B1;ADE60323032312d323032325354455449454e4e452d31363236312d302d36;19700101T000000Z;20211207T100557Z;2134139957
20211207T100557Z;20211124T130000Z;20210920T080000Z;R102;G_004;RT1-TP B1,CHAMBERT CHRISTOPHE;ADE60323032312d323032325354455449454e4e452d31363236312d302d36;19700101T000000Z;20211207T100557Z;2134139957
